Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Status,Metafield: custom.bh_concern [string],Metafield: custom.bh_gender [string],Metafield: custom.bh_segment [string],Metafield: custom.bh_score [integer],Metafield: custom.bh_follow_up [string]
gut-strength-kit,Gut Strength Kit- 1 month pack,<b>Gut Strength Kit</b></br></br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,energy,male,"male-18-25,male-25-35,male-35-plus",70,"musclegain,strength,vitamins,minerals,daily nutrition,vitamins & supplements"
<b> Improve Digestion and Overall Energy</b> with Tamarind flavoured Shilajit Gummies and Ginger Flavoured NoBloat Powder</br></br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🚀 Benefits</b></br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"⚡ Boosts over,Man Matters,,Energy,energy",musclegain,strength,vitamins,minerals,daily nutrition,vitamins & supplements,Man Matters,"energy,TRUE,Title,Default Title,gut-strength-kit,0,shopify,100,continue,manual,1300,1780,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/2024411/Shilajit%20%2B%20Gut%20health%20%20%281%29_9r1ed4.png?tr=w-600,1,Gut Strength Kit- 1 month pack,FALSE,Gut Strength Kit- 1 month pack,,,,,,new,FALSE,,,,,,,g,,,TRUE,1300,1780,active",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwagandha-gummies,Ashwagandha Gummies,<p>🌿 Elevate your well-being with our Ashwagandha Gummies - <b>helps with stress and anxiety!</b></br></br> 🍃 <b>Power-Packed with 30 Rich Ingredients</b>: Our gummies are carefully crafted with 30 essen</p>,Man Matters,,Energy,"energy, dailysupplements, daily nutrition, vitamins & supplements, Man Matters, energy",TRUE,Title,Default Title,ashwagandha-gummies,0,shopify,100,continue,manual,629,698,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/13222757/Ashwa%20Gummies%20%281%29_jjrtro.png?tr=w-600,1,Ashwagandha Gummies,FALSE,Ashwagandha Gummies,,,,,,new,FALSE,,,,,,,g,,,TRUE,629,698,active,energy,"male,female","female-18-25,female-25-35,female-35-plus,male-18-25,male-25-35,male-35-plus",78,"dailysupplements,daily nutrition,vitamins & supplements"
ashwagandha-gummies-mm,Ashwagandha Gummies for Stress,<p>🌿 Elevate your well-being with our Ashwagandha Gummies - <b>helps with stress and anxiety!</b></br></br> 🍃 <b>Power-Packed with 30 Rich Ingredients</b>: Our gummies are carefully crafted with 30 essen</p>,Man Matters,,Energy,"energy, dailysupplements, daily nutrition, Man Matters, energy",TRUE,Title,Default Title,ashwagandha-gummies-mm,0,shopify,100,continue,manual,419,698,TRUE,TRUE,https://i.mscwlns.co/mosaic-wellness/image/upload/v1631867343/Man%20Matters/Ashwagandha%20Gummies/Product%20images/Nutrition-matters-1-_1600X1200.jpg?tr=w-800,1,Ashwagandha Gummies for Stress,FALSE,Ashwagandha Gummies for Stress,,,,,,new,FALSE,,,,,,,g,,,TRUE,419,698,active,energy,"male,female","female-18-25,female-25-35,female-35-plus,male-18-25,male-25-35,male-35-plus",78,"dailysupplements,daily nutrition"
stress-free-kit,Stress Relief Kit,<b>Reduce Stress</b> with a combination of Shilajit Gummies and Ashwagandha Gummies </br></br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"energy,weight,hormones",male,"male-18-25,male-25-35,male-35-plus",70,"musclegain,less stress,daily nutrition"
<b>Shilajit Gummies </b></br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100% Pure & Natural </br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delicious Tamarind Flavour</br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"No Added Sugar</b,Man Matters,,Energy,energy",weight,hormones,musclegain,less stress,daily nutrition,Man Matters,"energy,TRUE,Title,Default Title,stress-free-kit,0,shopify,100,continue,manual,1400,1686,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/2024417/CR%20775-Artboard%202%20%281%29_1w4p2k.jpg?tr=w-600,1,Stress Relief Kit,FALSE,Stress Relief Kit,,,,,,new,FALSE,,,,,,,g,,,TRUE,1400,1686,active",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whey-protein-powder-1-kg,Whey Protein Powder 500 gm,<b>Simple. Clean. Powerful.</b></br></br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"energy,weight","male,female","female-18-25,female-25-35,female-35-plus,male-18-25,male-25-35,male-35-plus",79,"musclegain,protein supplements,active nutrition,protein & nutrition,nutrition"
<b>24g Pure Protein with added Glutamine</b></br></br> Every scoop is lab-tested for quality and consistency,"so you know exactly what you’re getting.</br></,Man Matters,,Energy,energy",weight,musclegain,protein supplements,active nutrition,protein & nutrition,nutrition,Man Matters,"energy,TRUE,Title,Default Title,whey-protein-powder-1-kg,0,shopify,100,continue,manual,1300,1494,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/2024418/Whey%20Protein_886ms9.jpg?tr=w-600,1,Whey Protein Powder 500 gm,FALSE,Whey Protein Powder 500 gm,,,,,,new,FALSE,,,,,,,g,,,TRUE,1300,1494,active",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whey-protein-powder-1-kg-mm,Whey Protein trial - Chocolate (10 sachets),"<p>💪🏼Give your body the best quality protein supplementation with this <b>Whey Protein powder.</b><br/><br/>  🏋🏿‍♂️ Each serving will give you <b>24 g protein, 5.3 g BCAA & 4.2g Glutamine. </b><br/><br/></p>",Man Matters,,Energy,"energy, weight, active nutrition, Man Matters, energy",TRUE,Title,Default Title,whey-protein-powder-1-kg-mm,0,shopify,100,continue,manual,899,987,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/26166948/Untitled%20design%20%285%29_h13gc8.png?tr=w-600,1,Whey Protein trial - Chocolate (10 sachets),FALSE,Whey Protein trial - Chocolate (10 sachets),,,,,,new,FALSE,,,,,,,g,,,TRUE,899,987,active,"energy,weight","male,female","female-18-25,female-25-35,female-35-plus,male-18-25,male-25-35,male-35-plus",70,active nutrition
creatine-gummies,Creatine Gummies,<p>Presenting <b>India's first Creatine Gummies!</b></br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weight,male,"male-18-25,male-25-35,male-35-plus",70,"protein supplements,musclegain,stamina,performance,active nutrition,protein & nutrition"
Man Matters Creatine Gummies are specially curated for you with <b>High quality Micronized Creatine Monohydrate</b></br></br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It helps: </br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"💪</p>,Man Matters,,Weight,weight",protein supplements,musclegain,stamina,performance,active nutrition,protein & nutrition,Man Matters,"weight,TRUE,Title,Default Title,creatine-gummies,0,shopify,100,continue,manual,799,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/2025041/Creatine%20Gummies%20pouch_fn65ct.png?tr=w-600,1,Creatine Gummies,FALSE,Creatine Gummies,,,,,,new,FALSE,,,,,,,g,,,TRUE,799,,active",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magnesium-gummies,Magnesium Glycinate Gummies 60N,<p>Presenting <b>India's First Magnesium Gummies!</b></br></br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sleep,male,"male-18-25,male-25-35,male-35-plus",85,vitamins & supplements
"✔️Contains <b>1000mg Magnesium Glycinate</b> per serving (2 Gummies/Day). <br/><br/> ✔️Glycinate has <b>8x better absorption</b> of Magnes</p>,Man Matters,,Sleep,sleep",vitamins & supplements,Man Matters,"sleep,TRUE,Title,Default Title,magnesium-gummies,0,shopify,100,continue,manual,899,998,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/2024494/Magnesium%20Gummies_br8d83.jpg?tr=w-600,1,Magnesium Glycinate Gummies 60N,FALSE,Magnesium Glycinate Gummies 60N,,,,,,new,FALSE,,,,,,,g,,,TRUE,899,998,active",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magnesium-gummies-mm,Advance Magnesium Care,<b>🔉Did you know? </b><br/><br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sleep,male,"male-18-25,male-25-35,male-35-plus",70,muscle pain & recovery
Over <b>60% of Indian men </b> are magnesium deficient due to <b>long work hours,high stress,and processed food consumption</b>,leading to <b>poor sleep,"muscle sp,Man Matters,,Sleep,sleep",muscle pain & recovery,Man Matters,"sleep,TRUE,Title,Default Title,magnesium-gummies-mm,0,shopify,100,continue,manual,1289,1481,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/2025031/MG%20Spray%20%26%20Magnesium%20Gummies_gem8n7.png?tr=w-600,1,Advance Magnesium Care,FALSE,Advance Magnesium Care,,,,,,new,FALSE,,,,,,,g,,,TRUE,1289,1481,active",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalp-stimulating-comb,Scalp Stimulating Comb,"<p>Neem Wood Comb is a 100% natural, environment-friendly and healthier way to control hair thinning and encourage healthy hair growth. Made from Neem (Azadirachta Indica) tree wood, this handcrafted Her</p>",Man Matters,,Hair,"hair, Man Matters, hair",TRUE,Title,Default Title,scalp-stimulating-comb,0,shopify,100,continue,manual,99,198,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/Comb_j3v5zo.png?tr=w-600,1,Scalp Stimulating Comb,FALSE,Scalp Stimulating Comb,,,,,,new,FALSE,,,,,,,g,,,TRUE,99,198,active,hair,male,"male-18-25,male-25-35,male-35-plus",80,
scalp-stimulating-comb-mm,Scalp Stimulating Comb,"<p>Neem Wood Comb is a 100% natural, environment-friendly and healthier way to control hair thinning and encourage healthy hair growth. Made from Neem (Azadirachta Indica) tree wood, this handcrafted Her</p>",Man Matters,,Hair,"hair, hair thinning, Man Matters, hair",TRUE,Title,Default Title,scalp-stimulating-comb-mm,0,shopify,100,continue,manual,199,,TRUE,TRUE,https://i.mscwlns.co/mosaic-wellness/image/upload/v1613548898/Man%20Matters/Hair%20comb/Product%20images/Scalp-stimulating-comb_1600X1200.jpg?tr=w-800,1,Scalp Stimulating Comb,FALSE,Scalp Stimulating Comb,,,,,,new,FALSE,,,,,,,g,,,TRUE,199,,active,hair,male,"male-18-25,male-25-35,male-35-plus",80,hair thinning
ultimate-strength-kit-mm,Muscle Gain Kit - 1 Month Pack,<b>Kit contains Shilajit Gummies and Vegain Plant Protein</br><br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"energy,weight,hormones",male,"male-18-25,male-25-35,male-35-plus",70,
100% Pure & Natural 300 mg Authentic Shilajit & Complete Plant Protein<br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"📅 Use consistently for atleast 3 months to see these res,Man Matters,,Energy,energy",weight,hormones,Man Matters,"energy,TRUE,Title,Default Title,ultimate-strength-kit-mm,0,shopify,100,continue,manual,2300,3484,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/2024400/Shilajit%2060N%2BVegain_2_l2ce78.jpg?tr=w-600,1,Muscle Gain Kit - 1 Month Pack,FALSE,Muscle Gain Kit - 1 Month Pack,,,,,,new,FALSE,,,,,,,g,,,TRUE,2300,3484,active",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
advanced-hair-regrowth-serum-mm,Advance Hair Serum + Replaceable Derma Roller + DHT Blocking Shampoo,<p>This treatment kit contains:</br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hair,male,"male-18-25,male-25-35",74,
<b>💧Advance Hair Serum </b> is enriched with 23% actives like <b>Redensyl,</b> Aminexil,Anagain,Procapil and Baicapil,"this mix is clinically proven to boost growth</p>,Man Matters,,Hair,hair",Man Matters,"hair,TRUE,Title,Default Title,advanced-hair-regrowth-serum-mm,0,shopify,100,continue,manual,1049,1777,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/26166956/Advanced%20Serum_682y2p.png?tr=w-600,1,Advance Hair Serum + Replaceable Derma Roller + DHT Blocking Shampoo,FALSE,Advance Hair Serum + Replaceable Derma Roller + DHT Blocking Shampoo,,,,,,new,FALSE,,,,,,,g,,,TRUE,1049,1777,active",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
creatine-powder,Creatine Monohydrate (150g - Mixed Fruit Flavour),<p>Advanced Creatine Monohydrate called KleanCREATINE – for smarter workouts!</br></br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weight,male,"male-18-25,male-25-35,male-35-plus",85,protein & nutrition
✔️Clinically studied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<br/> ✔️ Micronized for Better Absorption<br/> ✔️ 0 Calories,"0 Carbs<br/> ✔️ NABL-Certified </p>,Man Matters,,Weight,weight",protein & nutrition,Man Matters,"weight,TRUE,Title,Default Title,creatine-powder,0,shopify,100,continue,manual,699,743,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/2025025/125_b8btap.jpg?tr=w-600,1,Creatine Monohydrate (150g - Mixed Fruit Flavour),FALSE,Creatine Monohydrate (150g - Mixed Fruit Flavour),,,,,,new,FALSE,,,,,,,g,,,TRUE,699,743,active",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
creatine-powder-mm,Micronised Creatine Monohydrate (Mixed Fruit Flavour- Pack of 2),,Man Matters,,Weight,"weight, Man Matters, weight",TRUE,Title,Default Title,creatine-powder-mm,0,shopify,100,continue,manual,999,1693,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/2025048/Creatine%20Powder%20mixed%20pack%20of%202_fkuqww.png?tr=w-600,1,Micronised Creatine Monohydrate (Mixed Fruit Flavour- Pack of 2),FALSE,Micronised Creatine Monohydrate (Mixed Fruit Flavour- Pack of 2),,,,,,new,FALSE,,,,,,,g,,,TRUE,999,1693,active,weight,male,"male-18-25,male-25-35,male-35-plus",85,
advance-ads,Advance Daily Use Anti-Dandruff Shampoo,"<p>Men’s scalp produces more oil and have a higher pH, making them prone to <b>dandruff and irritation</b>.</br></br>Man Matters Advanced 2-in-1 Anti-Dandruff Shampoo is <b>designed specifically for men<</p>",Man Matters,,Hair,"hair, dandruff, dandruff, Man Matters, hair",TRUE,Title,Default Title,advance-ads,0,shopify,100,continue,manual,549,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/2025050/ADUS_3n9h9m.png?tr=w-600,1,Advance Daily Use Anti-Dandruff Shampoo,FALSE,Advance Daily Use Anti-Dandruff Shampoo,,,,,,new,FALSE,,,,,,,g,,,TRUE,549,,active,hair,male,"male-18-25,male-25-35,male-35-plus",70,"dandruff,dandruff"
man-matters-protein-shaker,Man Matters Protein Shaker,,Man Matters,,Energy,"energy, weight, Man Matters, energy",TRUE,Title,Default Title,man-matters-protein-shaker,0,shopify,100,continue,manual,399,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/10100137/shaker%20MM-min_sbwdny.png?tr=w-600,1,Man Matters Protein Shaker,FALSE,Man Matters Protein Shaker,,,,,,new,FALSE,,,,,,,g,,,TRUE,399,,active,"energy,weight",male,"male-18-25,male-25-35,male-35-plus",70,
advance-ads-mm,Advanced Scalp Care Kit,"<p>Upgrade your scalp care routine with the <b>Dandruff Pro Kit</b> - A complete solution for men dealing with <b>stubborn dandruff</b>. This 2-step kit <b>deeply cleanses, removes buildup, and restores </p>",Man Matters,,Hair,"hair, dandruff, dandruff, Man Matters, hair",TRUE,Title,Default Title,advance-ads-mm,0,shopify,100,continue,manual,699,1027,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/IMG_9399%20%281%29_bin4nr.png?tr=w-600,1,Advanced Scalp Care Kit,FALSE,Advanced Scalp Care Kit,,,,,,new,FALSE,,,,,,,g,,,TRUE,699,1027,active,hair,male,"male-18-25,male-25-35,male-35-plus",70,"dandruff,dandruff"
muscle-gain-kit-mm,Ultimate Energy Booster Kit,<b>Maximum energy and muscle strength</b> with a powerful combo of Shilajit Gummies and Creatine powder</br></br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"energy,weight,hormones",male,"male-18-25,male-25-35,male-35-plus",71,
<b>India's First Shilajit Gummies:</b></br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<b>✔️ No Hot Water Needed:</b> Just 2 gum,Man Matters,,Energy,energy",weight,hormones,Man Matters,"energy,TRUE,Title,Default Title,muscle-gain-kit-mm,0,shopify,100,continue,manual,1299,1779,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/2025062/Advanced%20Shilajit%20%2B%20Creatine%20Powder_2szenv.png?tr=w-600,1,Ultimate Energy Booster Kit,FALSE,Ultimate Energy Booster Kit,,,,,,new,FALSE,,,,,,,g,,,TRUE,1299,1779,active",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minoxidil-5-0-1-finasteride,Minoxifin Advanced (60 ml),<b>Minoxifin Advanced (75 ml)</b><br/><br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hair,male,"male-18-25,male-25-35",84,
►For best results,"use consistently for 6-9 months.<br/><br/><b>►Suited for people with Stage 2-3.</b><br/><br/>►Stage 2-3 is generally where thinning on th,Man Matters,,Hair,hair",Man Matters,"hair,TRUE,Title,Default Title,minoxidil-5-0-1-finasteride,0,shopify,100,continue,manual,599,998,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/2007083/Minoxifin_49s26v.png?tr=w-600,1,Minoxifin Advanced (60 ml),FALSE,Minoxifin Advanced (60 ml),,,,,,new,FALSE,,,,,,,g,,,TRUE,599,998,active",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ketoconazole-shampoo,Anti-Dandruff Pro Kit for Severe Dandruff,"<b>Stubborn dandruff</b> can persist when <b>layers of oil and flakes</b> prevent the treatment from reaching the scalp properly. This kit helps clear that layer, <b>allows actives to reach the scalp",Man Matters,,Hair,"hair, Man Matters, hair",TRUE,Title,Default Title,ketoconazole-shampoo,0,shopify,100,continue,manual,699,1043,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/2025074/ADS%20%2B%20Scalp%20massager_kgyn5s.png?tr=w-600,1,Anti-Dandruff Pro Kit for Severe Dandruff,FALSE,Anti-Dandruff Pro Kit for Severe Dandruff,,,,,,new,FALSE,,,,,,,g,,,TRUE,699,1043,active,hair,male,"male-18-25,male-25-35,male-35-plus",79,
superblend,Super Protein with Flavour Shots - 500g,"<b> Meet Super Blend - with Flavour Shots</b><br><br>Your all-in-one daily nutrition formula for <b>energy, recovery</b> & <b>complete wellness.</b><br><br>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"energy,weight",male,"male-18-25,male-25-35,male-35-plus",70,
"✔️ 25g High-Quality Whey (WPI + WPC Blend)<,Man Matters,,Energy,energy",weight,Man Matters,"energy,TRUE,Title,Default Title,superblend,0,shopify,100,continue,manual,1699,1887,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/2025053/Super%20blend%20%20unflavoured%20Shots_b914nr.png?tr=w-600,1,Super Protein with Flavour Shots - 500g,FALSE,Super Protein with Flavour Shots - 500g,,,,,,new,FALSE,,,,,,,g,,,TRUE,1699,1887,active",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beard-stimulator-kit,Beard Stimulator Kit,<p>👉 <b>Less dense beard growth</b> is when you have fuller beard but lack beard thickness & density.<br/><br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hair,male,male-18-25,82,
"This treatment kit contains:<br/>💧 <b>5% Minoxidil (alcohol-free)</b> is a vasodilator tha</p>,Man Matters,,Hair,hair",Man Matters,"hair,TRUE,Title,Default Title,beard-stimulator-kit,0,shopify,100,continue,manual,649,877,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/21521699/Beard%20%2B%20roller_7awfhg.png?tr=w-600,1,Beard Stimulator Kit,FALSE,Beard Stimulator Kit,,,,,,new,FALSE,,,,,,,g,,,TRUE,649,877,active",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
derma-roller-for-skin,Derma Roller for Skin,"<p>Derma Roller with replaceable head, contains 2x 0.5 Heads<br/><br/>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skin,male,"male-18-25,male-25-35,male-35-plus",77,blemish spots/marks
💎 540 titanium alloy 0.5 mm micro needles for targeted stimulation.<br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🌱 Boost hair growth and nourishment on your scalp.<br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"🌟 E</p>,Man Matters,,Skin,skin",blemish spots/marks,Man Matters,"skin,TRUE,Title,Default Title,derma-roller-for-skin,0,shopify,100,continue,manual,399,,TRUE,TRUE,https://i.mscwlns.co/mosaic-wellness/image/upload/v1604476909/Man%20Matters/Random/Activator-mobile.jpg?tr=w-800,1,Derma Roller for Skin,FALSE,Derma Roller for Skin,,,,,,new,FALSE,,,,,,,g,,,TRUE,399,,active",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indulge-energy-choco-bites,Indulge Energy Chocolate,"<p>INDULGE Energy Bites are power-packed with Ayurvedic goodness and highly nutritious essential vitamins, minerals and amino acids to improve both strength & energy. Each bite has a delicious and wholes</p>",Man Matters,,Energy,"energy, sleep, Man Matters, energy",TRUE,Title,Default Title,indulge-energy-choco-bites,0,shopify,100,continue,manual,399,,TRUE,TRUE,https://i.mscwlns.co/mosaic-wellness/image/upload/v1640175261/Man%20Matters/Indulge%20Chocolate%20New/Product%20Images/Indulge-Energy-Bites_1600X1200.jpg?tr=w-800,1,Indulge Energy Chocolate,FALSE,Indulge Energy Chocolate,,,,,,new,FALSE,,,,,,,g,,,TRUE,399,,active,"energy,sleep",male,"male-18-25,male-25-35,male-35-plus",79,
1x-anti-dandruff-shampoo-1x-conditioner-1x-helmet-spray,1x Anti Dandruff Shampoo + 1x Conditioner + 1x Helmet Spray,"<p>As men age, testosterone levels begin to drop. This can cause a loss of desire & satisfaction. But don’t worry. You're not alone! This ayurvedic testosterone booster made with Gokshura and other herbs</p>",Man Matters,,Hormones,"hormones, Man Matters, hormones",TRUE,Title,Default Title,1x-anti-dandruff-shampoo-1x-conditioner-1x-helmet-spray,0,shopify,100,continue,manual,897,,TRUE,TRUE,https://i.mscwlns.co/mosaic-wellness/image/upload/v1612437866/Man%20Matters/New%20testo%20booster%20render/TEsto/Perform-Testosterone-Booster_1600X1200.jpg?tr=w-800,1,1x Anti Dandruff Shampoo + 1x Conditioner + 1x Helmet Spray,FALSE,1x Anti Dandruff Shampoo + 1x Conditioner + 1x Helmet Spray,,,,,,new,FALSE,,,,,,,g,,,TRUE,897,,active,hair,male,"male-18-25,male-25-35,male-35-plus",70,
1x-tostero-capsules-1x-dapoxetine-tablets,1x TOSTERO Capsules + 1x Dapoxetine Tablets,"<p>A prescription kit to help you perform better, keep you and your partner happy</p>",Man Matters,,Hormones,"hormones, Man Matters, hormones",TRUE,Title,Default Title,1x-tostero-capsules-1x-dapoxetine-tablets,0,shopify,100,continue,manual,799,1037,TRUE,TRUE,https://i.mscwlns.co/mosaic-wellness/image/upload/v1612437907/Man%20Matters/New%20testo%20booster%20render/Testo%20%2B%20dapox/Testo-Booster-_-Dapoxetine_1600X1200.jpg?tr=w-800,1,1x TOSTERO Capsules + 1x Dapoxetine Tablets,FALSE,1x TOSTERO Capsules + 1x Dapoxetine Tablets,,,,,,new,FALSE,,,,,,,g,,,TRUE,799,1037,active,hormones,male,"male-18-25,male-25-35,male-35-plus",70,
ketopower-lotion,Ketopower+ Lotion,<p>Finally there's an effective solution for severe flakes. The power of our product's key anti-fungal ingredient ketoconazole gets magnified in this lotion as contact time between the product & your sca</p>,Man Matters,,Hair,"hair, Man Matters, hair",TRUE,Title,Default Title,ketopower-lotion,0,shopify,100,continue,manual,349,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/3526713/ketopower%2B%20lotion_47u08q.jpg?tr=w-600,1,Ketopower+ Lotion,FALSE,Ketopower+ Lotion,,,,,,new,FALSE,,,,,,,g,,,TRUE,349,,active,hair,male,"male-18-25,male-25-35,male-35-plus",79,
dandruff-removal-lotion,Dandruff Removal Lotion,"<p>Here’s an effective scalp lotion for flaking that thoroughly treats and prevents flaking from occurring again. Enriched with antibacterial and antifungal agents, Man Matters’ Flakes Lotion helps to so</p>",Man Matters,,Hair,"hair, dandruff, Man Matters, hair",TRUE,Title,Default Title,dandruff-removal-lotion,0,shopify,100,continue,manual,379,398,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/5100216/Dandruff%20removal%20lotion_415fve.jpg?tr=w-600,1,Dandruff Removal Lotion,FALSE,Dandruff Removal Lotion,,,,,,new,FALSE,,,,,,,g,,,TRUE,379,398,active,hair,male,"male-18-25,male-25-35,male-35-plus",78,dandruff
anti-hairfall-kit-1x-shampoo-1x-gummies,Anti Hairfall Kit| 1x Shampoo + 1x Gummies,"<p>A sleep strip that dissolves on your tongue, and naturally signals your brain to sleep. It can be used to regulate your sleep cycle.</p>",Man Matters,,Sleep,"sleep, Man Matters, sleep",TRUE,Title,Default Title,anti-hairfall-kit-1x-shampoo-1x-gummies,0,shopify,100,continue,manual,894,,TRUE,TRUE,https://i.mscwlns.co/mosaic-wellness/image/upload/v1604746834/Man%20Matters/Card%20image%20change/sleep/strips/Relax-Melatonin-Strips_1600X1200.jpg?tr=w-800,1,Anti Hairfall Kit| 1x Shampoo + 1x Gummies,FALSE,Anti Hairfall Kit| 1x Shampoo + 1x Gummies,,,,,,new,FALSE,,,,,,,g,,,TRUE,894,,active,hair,male,"male-18-25,male-25-35,male-35-plus",70,
plant-protein-powder-500-gm,Plant Protein Powder (500 gm),<b>Simple. Clean. Effective.</b></br></br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"energy,weight","male,female","female-18-25,female-25-35,female-35-plus,male-18-25,male-25-35,male-35-plus",79,"protein supplements,musclegain,gain muscle,low protein,active nutrition"
